id;source;display_name;extras_fim_vigencia;extras_fim_implantacao;extras_inicio_vigencia
"40403980";"tuss-22";"Investigação da presença de anti-A ou anti-B, em soro ou plasma de neonato, com métodos que incluam uma fase antiglobulínica ";"-";"2010-10-15";"2009-02-13"
"40403971";"tuss-22";"Imuno-hematológicos: tipificação ABO, incluindo tipagem reversa e determinação do fator RH (D), incluindo prova para D-fraco e pesquisa e identificação de anticorpos séricos irregulares antieritrocitários ";"-";"2010-10-15";"2009-02-13"
"40403963";"tuss-22";"Exames imunohematológicos em recém-nascidos: tipificação ABO e RH, pesquisa de D fraco RH(D) e prova da antiglobulina direta";"-";"2010-10-15";"2009-02-13"
"40403955";"tuss-22";"Doação autóloga pré-operatória ";"-";"2010-10-15";"2009-02-13"
"40403947";"tuss-22";"Doação autóloga peri-operatória por hemodiluição normovolêmica ";"-";"2010-10-15";"2009-02-13"
"40403939";"tuss-22";"Doação autóloga com recuperação intra-operatória";"-";"2010-10-15";"2009-02-13"
"40403920";"tuss-22";"Determinação do fator RH (D), incluindo prova para D-fraco no sangue do receptor";"-";"2010-10-15";"2009-02-13"
"40403912";"tuss-22";"Estimulação e mobilização de células CD34 positivas ";"-";"2010-10-15";"2009-02-13"
"40403890";"tuss-22";"NAT/HBV - por componente hemoterápico - pesquisa e/ou dosagem";"-";"2010-10-15";"2009-02-13"
"40403840";"tuss-22";"Transaminase pirúvica - TGP ou ALT por componente hemoterápico - pesquisa e/ou dosagem ";"-";"2010-10-15";"2009-02-13"
"40403831";"tuss-22";"TMO - tratamento \"in vitro\" de medula óssea ou células tronco por anticorpos monoclonais (purging)(4) - por procedimento";"-";"2010-10-15";"2024-02-01"
"40403823";"tuss-22";"TMO - preparo e filtração de medula óssea ou células tronco na coleta - por procedimento";"-";"2010-10-15";"2024-02-01"
"40403815";"tuss-22";"TMO - preparo de medula óssea ou células tronco periféricas para congelamento - por procedimento ";"-";"2010-10-15";"2024-02-01"
"40403807";"tuss-22";"TMO - manutenção de congelamento de medula óssea ou células tronco (até 2 anos)";"-";"2010-10-15";"2009-02-13"
"40403793";"tuss-22";"TMO - determinação de viabilidade de medula óssea";"-";"2010-10-15";"2009-02-13"
"40403785";"tuss-22";"TMO - determinação de unidades formadoras de colônias";"-";"2010-10-15";"2009-02-13"
"40403777";"tuss-22";"TMO - determinação de HLA para transplantes de medula óssea - loci DR e DQ (baixa resolução)";"-";"2010-10-15";"2009-02-13"
"40403769";"tuss-22";"TMO - determinação de HLA para transplantes de medula óssea - loci A e B";"-";"2010-10-15";"2009-02-13"
"40403750";"tuss-22";"TMO - determinação de HLA   transplantes de medula óssea - loci DR e DQ (alta resolução)";"-";"2010-10-15";"2009-02-13"
"40403742";"tuss-22";"TMO - descongelamento de medula óssea ou células tronco";"-";"2010-10-15";"2009-02-13"
"40403734";"tuss-22";"TMO - cultura de linfócitos doador e receptor";"-";"2010-10-15";"2009-02-13"
"40403726";"tuss-22";"TMO - congelamento de medula óssea ou células tronco periféricas - por procedimento";"-";"2010-10-15";"2024-02-01"
"40403718";"tuss-22";"Teste de Coombs indireto - mono específico (IgG, IgA, C3, C3D, Poliv. - AGH) - gel teste ";"-";"2010-10-15";"2009-02-13"
"40403700";"tuss-22";"Teste de Coombs direto - mono específico (IgG, IgA, C3, C3D, Poliv. - AGH) - gel teste ";"-";"2010-10-15";"2009-02-13"
"40403696";"tuss-22";"Teste de Coombs direto - gel teste ";"-";"2010-10-15";"2009-02-13"
